come; how  
che; that / what  
lui; he / him  
essere; to be  
per; for / to  
con; with  
esso; it  
uno; one / a  
avere; to have  
questo; this  
caldo; hot / warm  
parola; word  
cosa; thing / what  
alcuno; some / any  
voi; you (plural)  
noi; we / us  
lattino; can / tin  
fuori; outside / out  
altro; other / another  
fare; to do / to make  
loro; they / them  
tempo; time / weather  
volontà; will / desire  
suddetto; said / aforementioned  
ogni; every / each  
dire; to say / to tell  
set; set  
tre; three  
desiderare; to want / desire  
aria; air  
bene; good / well  
anche; also / too  
giocare; to play  
piccolo; small / little  
fine; end / finish  
mettere; to put / to place
casa; house / home  
leggere; to read  
mano; hand  
porto; port / harbor  
grande; big / large  
compitare; to spell  
aggiungere; to add  
terra; earth / land / ground  
qui; here  
mosto; must (grape juice before fermentation)  
alto; high / tall  
tale; such / that kind of  
seguire; to follow  
atto; act / deed  
perché; why / because  
chiedere; to ask / to request  
maschio; male  
cambiamento; change  
luce; light  
tipo; kind / type  
spento; off / extinguished  
bisogno; need / necessity  
immagine; image / picture  
provare; to try / to test  
animale; animal  
punto; point / dot  
madre; mother  
mondo; world  
vicino; near / close  
costruire; to build  
padre; father  
qualsiasi; any / whichever  
nuovo; new  
lavoro; work / job  
parte; part / portion  
prendere; to take  
ottenere; to get / obtain  
posto; place / position  
vivere; to live  
dove; where  
dopo; after / later  
indietro; back / backward  
poco; little / few  
solo; alone / only  
turno; turn / shift  
uomo; man  
anno; year  
spettacolo; show / performance  
bere; to drink (probably “buere” typo)  
dare; to give  
sotto; under / below  
nome; name  
molto; much / a lot / very  
attraverso; through / across  
forma; form / shape  
frase; sentence / phrase  
pensare; to think  
aiutare; to help  
basso; low / short  
linea; line  
differire; to differ / to delay  
causa; cause / reason  
prima; before / first  
muovere; to move
diritto; right / law / straight  
ragazzo; boy  
vecchio; old  
troppo; too / too much / too many  
stesso; same  
lei; she / her  
tutto; all / everything  
quando; when  
uso; use  
modo; way / manner  
circa; about / around  
allora; then / so  
scrivere; to write  
così; so / thus  
lungo; long  
rendere; to make / to render / to give back  
vedere; to see  
due; two  
guardare; to look / to watch  
giorno; day  
potere; can / to be able to  
andare; to go  
venire; to come  
numero; number  
seguire; to follow  
più; more / most  
persona; person  
oltre; beyond / besides  
sapere; to know (a fact)  
acqua; water  
chiamare; to call / to name  
primo; first  
giù; down  
lato; side  
ora; now / hour  
trovare; to find  
testa; head  
stare; to stay / to be  
proprio; own / proper / exactly  
pagina; page  
dovere; must / duty / to have to  
paese; country / village  
fondare; to found / to establish  
risposta; answer / reply  
scuola; school  
crescere; to grow  
studio; study  
ancora; still / yet / again  
imparare; to learn  
rimpiangere; to regret (probably “impiangere” typo)  
coprire; to cover (likely “coperturare” typo)  
cibo; food  
sole; sun  
quattro; four  
fra; between / among  
mantenere; to maintain / to keep  
occhio; eye  
mai; never / ever  
ultimo; last / final  
lasciare; to leave / to let  
pensiero; thought  
città; city / town  
albero; tree  
attraversare; to cross  
fattoria; farm  
difficile; difficult / hard  
inizio; beginning / start  
forza; force / strength  
storia; story / history  
segare; to saw / to cut  
lontano; far / distant  
mare; sea  
disegnare; to draw / to design  
sinistra; left  
tardi; late  
correre; to run (probably “run” placeholder)  
non; not / no  
mentre; while  
stampa; print / press  
chiudere; to close (probably “closo” typo)  
notte; night  
reale; real / royal  
vita; life  
nord; north  
libro; book  
portare; to bring / to carry / to wear  
scienza; science  
mangiare; to eat  
camera; room / chamber  
amico; friend  
idea; idea  
pesce; fish  
montagna; mountain  
fermare; to stop (likely “stop” placeholder)  
base; base / foundation  
sentire; to hear / to feel
cavallo; horse  
taglio; cut  
sicuro; sure / safe  
orologio; watch / clock  
colore; color  
volgere; to turn / to face  
legno; wood  
principale; main / principal  
aprire; to open  
sembrare; to seem / to appear  
insieme; together / group  
prossimo; next  
bianco; white  
bambino; child / kid  
camminare; to walk  
esempio; example  
alleviare; to ease / to relieve  
carta; paper / card  
gruppo; group  
sempre; always  
musica; music  
quello; that  
entrambi; both  
marchio; mark / brand  
spesso; often / thick  
