事;thing
言う;say, speak, talk
する;do
ある;be (existence), have (possession), happen, occur
なる;become, get
思う;think, believe
物;thing, object, stuff
そう;so, such
無い;There is no ... , no ...
行く;go
もう;already
時;time
人;person, people, human being
こう;so, like this
来る;come
見る;see
今;now
良い;good
所;place, point
自分;oneself
やはり;as (one) expected, still
やる;do
中;inside, in
いる;be, exist
できる;be ready
後;after, later
ちょっと;(just) a little, a bit
方;direction, way
訳;reason, cause
どう;how, what
本当;truth, right
持つ;have, take, hold
出る;go out, come out
ため;for
すごい;fantastic, wonderful
考える;think
分かる;understand, see
入る;enter, come in, go in
作る;make, create, cook
聞く;hear
場合;case, occasion
話;story, talk
使う;use, handle
日本;Japan
風;style, type, way, like
前;forward
多い;many, much, a lot of
よく;good, well
一つ;one
子供;child
非常;very, extremely
気;mind, heart
取る;take, get
うち;inside
知る;know
感じ;feeling, impression
みたい;like
とても;very
いろいろ;, na-adj. various
一;one
そう;, na-adj. be about to
行なう;do, carry out, hold
一番;number one, first, most
二;two
まず;first
必要;necessary n necessity
皆;everyone
方;person, man
食べる;eat
書く;write
入れる;put in
次;next, following, coming
問題;problem, question
例えば;for example, such as
目;eye
頃;time, about, when
上;top
他;other, another
家;house, home
付く;stick
日;day
出す;take out
一人;one person
人間;human being, man
ございます（<ござる）;[very polite form of “de aru”]
時間;time
違う;be different
受ける;get, receive, take
言葉;word
少し;a little, a few
まま;as it is
買う;buy
まだ;yet, still
手;hand
話す;talk, tell, speak
好き;favorite, like, love
返る;return
掛ける;hang
終わる;end, finish
付ける;put
形;form, shape, figure
かなり;considerably, rather
最初;first
間;distance
感じる;feel
かかる;hang
住む;live
最近;recently, lately
特に;especially, particularly
友達;friend
大きい;big, large, great
すぐ;soon
一緒;together, with
国;country
あげる;raise, lift
現在;present time, now
高い;high, tall
悪い;bad
気持ち;feeling
乗る;ride, get on, take
見える;see, be seen
変わる;change
大変;serious, terrible
会社;company, firm
ほとんど;almost, nearly
実際;actually, in fact
先生;teacher
二人;two people
心;mind, heart
金;money
顔;face
ずっと;all the time, for a long time
さらに;again, still more, moreover
町;town, city
たくさん;many, much
大体;almost, nearly
もちろん;of course, needless to say
読む;read
人たち;people
今日;today
昔;ancient times, in the past, once
すべて;everything, all
教える;teach, tell
子;child
なぜ;why
水;water
当時;then, at that time
場所;place, spot
置く;put, place
楽しい;pleasant, happy, enjoyable
声;voice
普通;normal, regular, ordinary, common
残る;remain, be left
最後;last, end
車;car
初めて;for the first time, first
今度;this time, next time
体;body
強い;strong, powerful
全く;entirely, completely
呼ぶ;call
結局;after all, in the end, finally
歩く;walk
男;man, male
女性;woman, female
学校;school
生きる;live
なかなか;very, quite
先;end, front
もっと;more
テーマ;theme, subject
世界;world
状態;state, conditions
もし;if, in case
全然;(not) at all
飲む;drink
新しい;new, fresh
早い;early, soon
会う;meet, see
アメリカ;America
小さい;small, little, tiny
相手;companion
母;mother
以上;more than
関係;relationship, connection
たぶん;probably, perhaps, maybe
店;store, shop
頭;head
長い;long
本;book
夜;night, evening
別;separate, different
者;person, people
タイトル;title
親;parent
名前;name
全部;all, whole, entire
皆さん;everybody, everyone
きれい;beautiful, pretty
立つ;stand
毎日;every day
おいしい;delicious, tasty
家族;family
部分;part, section
一度;once
結果;result
状況;state of affairs, situation
時代;time, era
少ない;a little, a few
他;another, other
うまい;delicious, tasty
覚える;learn, remember, memorize
東京;Tokyo
続く;continue, go on, last
生まれる;be born
父;father
それぞれ;each
方法;way, method
はず;ought to, should
部屋;room
ちょうど;just, exactly
当然;, n. naturally, as a matter of course
大学;university, college
実;truth, true, real
朝;morning
どんどん;rapidly, fast, soon
得る;get, obtain
得る;get, obtain
とにかく;anyway, regardless
選ぶ;choose, select
面白い;interesting
戻る;return, go back
やめる;stop, give up
下;under
始める;start, begin
まわり;circumference
犬;dog
必ず;always, certainly, surely
残す;leave
大事;important, serious
嬉しい;glad, happy
力;power, strength
遊ぶ;play
若い;young
理由;reason
女;woman, female
簡単;easy
始まる;start, begin
死ぬ;die
今回;this time
人生;life
通り;street
内容;contents
テレビ;television, TV
木;wood
点;point, score
音;sound, noise
海;sea, ocean
一応;at first glance
与える;give, present
働く;work
一杯;, adv. cup(ful), glass(ful), be full of, a lot of
近く;near, nearby
つまり;in short, that is to say, after all
共;with, together
絶対;, adv. absolute, absolutely, whatever
日本人;Japanese (person)
大切;important
足;foot
切る;cut
走る;run
待つ;wait
写真;picture, photo
子供たち;children
だんだん;gradually, more and more, less and less
楽しむ;enjoy, have a good time
五;five
多く;many, most
寝る;sleep
英語;English language
決める;decide, fix
忘れる;forget
口;mouth
送る;send
姿;figure, shape, appearance
なくなる;disappear
時期;time, period, season
逆;, na-adj. contrary, opposite
頑張る;do one’s best
示す;show
人々;people
道;way, road
有名;famous, well-known
思い;thought, mind, heart
難しい;difficult, hard
山;mountain
程度;degree, grade, level, limit
願う;wish, ask, pray
すでに;already, before
昭和;Showa era
向かう;face
連れる;take somebody, accompany
変える;change
病院;hospital, clinic
年;year
花;flower
求める;ask for, request, demand
情報;information
もらう;get, have, receive
友人;friend
だめ;useless, hopeless, impossible
経つ;pass, go by
先程;a short while ago
一回;once
開く;open
無人島;uninhabited island
続ける;continue, keep up, go on
重要;important
当たる;hit, bump, touch
近い;near, close
認める;recognize, acknowledge, admit, approve, accept
歴史;history
増える;increase, gain
音楽;music
外;outside
進む;to go forward, make progress
起きる;get up
嫌;, na-adj. unpleasant, disagreeable
駅;station
映画;movie
身;body, oneself
客;guest, visitor
含む;contain, include
地域;region, area
どうしても;by all means, at any cost, no matter what, after all
娘;daughter
見せる;show
一日;a day, the day, one day
今年;this year
平成;Heisei era
図;drawing, figure, diagram
合わせる;join, add up
安い;low, cheap
夢;dream
つらい;hard, difficult, painful
中心;center
起こる;happen, occur, take place
（お）母さん;mother, Mom
立てる;stand, set up, put up
最も;most, extremely
色;color
探す;look for, search for, seek
ちゃんと;exactly, regularly, properly
興味;interest
いただく;get, receive (humble)
売る;sell
印象;impression
作品;work, production
夏;summer
よる;be due to
事件;incident, event
中国;China
母親;mother
取り敢えず;for the time being
目的;purpose
様々;various, all kinds of
答える;answer, respond
過ごす;spend, live
上がる;go up, rise
病気;sickness, illness
笑い;laugh, laughter
午後;afternoon, p.m.
後;after, later, since
動く;move
主人;shop owner
加える;add, include
困る;have difficulty, be in trouble
取れる;come off
環境;environment
比べる;compare, contrast
高校;high school
引く;pull, draw, lead
辺;region, area around
離れる;separate
火;fire
今後;in the future, from now on
社会;society
越える;cross over, go over
図る;attempt
企業;company, business
奴;guy, fellow
はっきり;clearly, certainly
怖い;frightening, scary
例;example
絵;picture, painting
思い出す;remember
酒;alcohol, sake, rice wine
原因;cause
お前;you (colloquial)
守る;protect, defend
小学校;elementary school, primary school
回る;spin, turn, go around
広い;wide, broad, large
猫;cat
向こう;other side
同時;simultaneous, at the same time
調べる;investigate
のぼる;go up, rise
向ける;turn, point
落ちる;fall, drop
決まる;be decided
起こす;wake
場;field
ホテル;hotel
対象;object, target, subject
打つ;hit, strike, beat
以前;before, formerly
夫;husband
数;number
意見;opinion, idea
割と;comparatively, rather
大丈夫;safe, all right
通う;attend, go to, commute
申し上げる;tell, say (humble)
可能性;possibility
述べる;describe, say, state
是非;by all means, please
三人;three people
一部;part
きっと;surely, certainly
どうして;why
歌う;sing
なお;more, still
幾つ;how many, how old
ほしい;want, desire
新聞;newspaper
気付く;notice, become aware
歌;song
開ける;open
互い;each other
着る;put on, wear
違い;difference
しっかり;hard, tight
過ぎる;pass, exceed
思い出;memory, reminiscence
しばらく;for a while, a minute, for a long time
基本的;basic, fundamental
四月;April
君;you
笑う;laugh
いくら;how much, however
魚;fish
父親;father
見付ける;find, look for
関わる;concern, affect, be involved
無理;unreasonable, impossible
健康;health
味;flavor, taste
深い;deep
伝える;tell
集まる;gather, crowd
戦争;war
流れる;flow, float, pass
男性;male, man
電車;train
進める;advance, move forward
含める;include, add
致す;do (humble)
着く;arrive, reach
厳しい;strict, hard
女の子;girl
パソコン;personal computer
おる;be, exist (humble)
三十分;thirty minutes
限り;limit
いらっしゃる;come, go (honorific)
可能;possible
可愛い;cute, nice, lovely
際;when, in case of
途中;on the way
様子;state of affairs, situation
合う;fit, suit, agree
済む;end, finish
通る;pass, go along
大人;adult
事実;fact, actuality
せい;fault, cause for blame, because of
一年;one year
一体;, adv. how, what, why, who
島;island
描く;draw
驚く;be surprised
動物;animal
何度;how many times, how often
元々;from the first, originally
素晴らしい;wonderful, marvelous
座る;sit
定める;provide
機会;opportunity
楽しみ;pleasure, enjoyment
考え;idea, thought
信じる;believe, trust
たまたま;accidentally, by chance
古い;old
面;side
三月;March
より;more, better
つもり;intention
考え方;way of thinking, attitude
ニュース;news
元;beginning
低い;low, short
作り方;how to make
現われる;appear, come into sight
聞こえる;hear
曲;piece (music), song, tune
過去;past
やっと;at last
思える;it seems that
明らか;clear, obvious
土地;land, ground
振り返る;turn one’s head, look back
初め;beginning
息子;son
限る;limit, restrict
似る;look like, resemble
悲しい;sad, unhappy
雨;rain
自分達;themselves
詳しい;detailed, know well, in detail
二十一世紀;twenty-first century
ひどい;cruel, serious, terrible
昨日;yesterday
下りる;go down
メール;e-mail
まあ;Oh!, well, now
喜ぶ;be glad, rejoice
迎える;go to meet, invite, receive
耳;ear
動き;movement, action, motion
雰囲気;atmosphere, ambience
立場;position, standpoint, situation
基づく;be based
間;time, interval
痛い;painful, hurt
お父さん;father
辺り;area around
将来;future
乗せる;take on, put on, pick up
自転車;bicycle
白い;white
川;river, stream
用いる;use, adopt
隣り;next door, next
普段;usually, ordinarily
法律;law
妻;wife
冬;winter
具体的;specific, concrete
もと;under
繰り返す;repeat, do over again
泣く;cry
七;seven
手紙;letter
出かける;go out, leave
両親;(both) parents
残念;disappointing, regrettable
おそらく;probably, likely
家庭;home, household, family
軽い;light, slight
払う;pay
つながる;be connected, be related
船;ship, boat
九月;September
きっかけ;opportunity, motive
授業;class, lesson at school
亡くなる;die, pass away
止める;stop
茶;tea
直接;, adv. directly, direct
バス;bus
効果;effectiveness, effect
現実;reality, actuality
触れる;touch
飼う;keep, have, breed
しゃべる;talk, chat
国民;nation, people (of country), public
さす;shine
やり方;way of doing, how to, approach
ずいぶん;very, pretty, quite
日本語;Japanese language
十月;October
気分;feeling, mood
殺す;kill
特徴;characteristic, feature
神;God, deity, spirit
暮らす;live
飛ぶ;fly
