jak; how
być; to be
dla; for
zespół; team
jeden; one
mieć; to have
przez; through / by
gorący; hot
słowo; word
ale; but
niektóry; some
lub; or
kilka; several
stopa; foot
ciągnąć; pull
puszka; can
inny; other
który; which / who
zrobić; to do / make
czas; time
jeśli; if
powiedzieć; to say
próba; attempt / test
każdy; each / every
nie; no / not
zestaw; set
trzy; three
chcieć; to want
powietrze; air
dobrze; well / good
również; also
grać; to play
mały; small
koniec; end
wkładać; to put in
strona; side / page
czytać; to read
ręka; hand / arm
port; port / harbor
duży; big / large
zaklęcie; spell / incantation
dodać; to add
nawet; even
ziemia; earth / ground
tutaj; here
musieć; must / have to
wysoki; high / tall
taki; such / like that
śledzić; to follow
akt; act / deed
dlaczego; why
zapytać; to ask
mężczyzna; man / male
zmiana; change
pójść; to go
światło; light
rodzaj; kind / type
potrzeba; need
dom; house / home
obraz; picture / image
spróbuj; try
ponownie; again
zwierzę; animal
punkt; point / dot
matka; mother
świat; world
blisko; near / close
budować; to build
własny; own
ojciec; father
dowolny; any
nowy; new
praca; work / job
część; part
wziąć; to take
dostać; to get / receive
miejsce; place
wykonać; to perform / execute
żyć; to live
gdzie; where
późno; late
mało; little / few
tylko; only / just
okrągły; round
rok; year
spokojnie; calmly / quietly
pokaż; show
dobry; good
dać; to give
nasz; our
pod; under / below
nazwa; name
bardzo; very
formularz; form
zdanie; sentence / opinion
wielki; great / large
myśleć; to think
pomoc; help / assistance
niski; low / short
linia; line
różnić; to differ
kolej; railway / queue
przyczyna; cause / reason
wiele; many / much
oznaczać; to mean / signify
przed; before / in front of
ruch; movement / traffic
prawo; right / law
chłopiec; boy
stary; old
zbyt; too / overly
sam; alone / self
wszystko; everything
tam; there
kiedy; when
zastosowanie; application / use
twój; your
sposób; way / manner
następnie; then / next
pisać; to write
tak; yes / so
ten; this
długo; long
rzecz; thing / object
zobaczyć; to see
dwa; two
szukać; to search / look for
dużo; a lot / much
dzień; day
móc; can / to be able to
iść; to go
przyjść; to come
liczba; number
brzmieć; to sound
człowiek; person / man
ponad; over / above
wiedzieć; to know
woda; water
niż; than
wezwać; to call / summon
pierwszy; first
kto; who
bok; side
teraz; now
odnaleźć; to find / locate
głowa; head
stać; to stand / cost
powinien; should / ought to
kraj; country
znaleźć; to find
odpowiedź; answer / response
szkoła; school
rosnąć; to grow
badać; to study / examine
jeszcze; still / yet
uczyć; to teach / learn
roślina; plant
okładka; cover
jeść; to eat
słońce; sun
cztery; four
między; between
stan; state / condition
zachować; to keep / preserve
oko; eye
nigdy; never
ostatni; last / final
niech; let / may
miasto; city / town
drzewo; tree
krzyż; cross
gospodarstwo; farm
trudny; difficult / hard
początek; beginning / start
moc; power / strength
historia; history / story
pić; to drink
daleko; far / distant
morze; sea
rysować; to draw
run; biec / to run
podczas; during
naciśnij; press / push
noc; night
prawdziwy; real / true
życie; life
północ; north / midnight
książka; book
nieść; to carry
nauka; science / learning
pokój; room / peace
przyjaciel; friend
rozpocząć; to begin / start
pomysł; idea
ryba; fish
góra; mountain
zatrzymać; to stop
raz; once / time
podstawać; to arise / stand up
słyszeć; to hear
koń; horse
cięcie; cut
pewny; sure / certain
oglądać; to watch / look at
kolor; color
twarz; face
drewno; wood
główny; main / chief
otworzyć; to open
wydawać; to seem / spend
następny; next
biały; white
dziecko; child
zacząć; to start / begin
got; prepared / ready (archaic: mieć gotowe)
chodzić; to walk / attend
przykład; example
łatwość; ease
papier; paper
grupa; group
zawsze; always
muzyka; music
osoba; person
zarówno; both / as well as
znak; sign / mark
często; often
list; letter / list
kilometr; kilometer
rzeka; river
samochód; car
opieka; care
drugi; second
wystarczyć; to suffice / be enough
zwykły; ordinary / usual
dziewczyna; girl
młody; young
gotowy; ready
powyżej; above
kiedykolwiek; ever
czerwony; red
lista; list
chociaż; although
czuć; to feel
dyskusja; discussion
ptak; bird
wkrótce; soon
ciało; body
pies; dog
rodzina; family
bezpośredni; direct
stanowić; to constitute / form
zostawić; to leave
piosenka; song
pomiar; measurement
drzwi; door
produkt; product
czarny; black
krótki; short
liczebnik; numeral
klasa; class
wiatr; wind
pytanie; question
pełny; full
statek; ship
obszar; area / region
połowa; half
skalny; rocky
zamówienie; order
ogień; fire
południe; south / noon
problem; problem
sztuka; art / piece
przekazać; to pass / convey
cały; whole / entire
król; king
ulica; street
cal; inch
mnożenie; multiplication
nic; nothing
oczywiście; of course / obviously
pobyt; stay
koło; wheel / circle
siła; strength / force
niebieski; blue
obiekt; object
zdecydować; to decide
powierzchnia; surface
głęboko; deeply
księżyc; moon
wyspa; island
system; system
zająć; to take / occupy
rekord; record
łódź; boat
wspólny; common / shared
złoto; gold
możliwy; possible
samolot; airplane
siona; seed (archaic / typo variant of "siano" – hay)
suchy; dry
zastanawiać; to wonder / consider
śmiech; laughter
tysiąc; thousand
ran; wounds / injuries (noun plural of "rana")
sprawdzić; to check / verify
kształt; shape / form
zrównać; to equalize / level
panna; miss / maiden
wnieść; to bring in / contribute
ciepło; warmth / heat
śnieg; snow
opona; tire
przynieść; to bring
odległość; distance
napełniać; to fill / load
wschód; east / sunrise
malować; to paint
język; language / tongue
jednostka; unit
latać; to fly
spadek; fall / decline
prowadzić; to lead / drive
krzyk; scream / shout
ciemny; dark
maszyna; machine
uwaga; attention / note
czekać; to wait
płacić; to pay
rysunek; drawing
gwiazda; star
skrzynek; boxes (genitive plural of “skrzynka”)
rzeczownik; noun
pole; field
reszta; rest / remainder
poprawny; correct / proper
zdolny; able / capable
funt; pound
uroda; beauty
napęd; drive / propulsion
zawierać; to contain / include
tydzień; week
ostateczny; final / ultimate
zielić; to divide / separate (dialectal)
szybki; fast / quick
rozwijać; to develop / unfold
ocean; ocean
ciepły; warm
minuta; minute
silny; strong
specjalny; special
umysł; mind
jasny; bright / clear
ogon; tail
produkować; to produce
fakt; fact
przestrzeń; space
godzina; hour
sto; hundred
pięć; five
pamiętać; to remember
krok; step
wcześnie; early
przytrzymaj; hold
zachód; west / sunset
odsetka; percentage
dotrzeć; to reach
szybko; quickly
czasownik; verb
śpiewać; to sing
słuchać; to listen
sześć; six
stół; table
podróż; journey / trip
rano; morning
dziesięć; ten
prosty; simple / straight
samogłoski; vowels
kierunek; direction
wojna; war
świecki; secular
wzór; pattern / formula
powolny; slow
centrum; center
miłość; love
pieniądz; money
służyć; to serve
pojawiać; to appear
drogowy; road / traffic
mapa; map
deszcz; rain
reguła; rule
rządzić; to govern / rule
zimno; cold
ogłoszenie; announcement
głos; voice / vote
energia; energy
polowanie; hunting
prawdopodobny; probable / likely
łóżko; bed
brat; brother
jajko; egg
jazda; ride / driving
komórka; cell
wierzyć; to believe
wybrać; to choose
nagły; sudden
liczyć; to count
plac; square / plaza
powód; reason / cause
długość; length
temat; topic / subject
region; region / area
rozmiar; size
osiedleć; to settle
mówić; to speak / say
waga; weight / importance
ogólnie; generally
lód; ice
wzgląd; regard / consideration
krąg; circle / ring
para; pair / couple
podzielić; to divide
sylaby; syllables
filc; felt
piłka; ball
fala; wave
upuścić; to drop
serce; heart
niniejszy; this / hereby
ciężka; heavy
taniec; dance
silnik; engine / motor
stanowisko; position / post
ramię; arm / shoulder
szeroki; wide / broad
żagiel; sail
materiał; material / fabric
frakcja; fraction
las; forest
siedzieć; to sit
wyścig; race
okno; window
sklep; shop / store
lato; summer
pociąg; train
sen; dream / sleep
dowieść; to prove / bring
samotny; lonely
mecz; match / game
ćwiczyć; to exercise / practice
ściąć; to cut down
catch; złapać / chwycić
mocowanie; fastening / mount
niebo; sky / heaven
wyżywić; to feed / sustain
radość; joy
zima; winter
nasycony; saturated
napisać; to write
dzik; boar / wild pig
instrument; instrument / tool
utrzymać; to maintain / keep
szczyt; peak / summit
trawa; grass
krowy; cows
krawędź; edge
wizyta; visit
przeszłość; past
miękki; soft
zabawa; fun / play
gaz; gas
pogoda; weather
miesiąc; month
milion; million
niedźwiedź; bear
wykończenie; finish / completion
szczęśliwy; happy / lucky
nadzieja; hope
kwiat; flower
odzież; clothing
dziwny; strange / odd
odszedł; departed / left
handel; trade
melodia; melody / tune
wycieczka; trip / excursion
biuro; office
otrzymać; to receive / obtain
wiersz; verse / poem / line
usta; lips
dokładny; accurate / exact
symbol; symbol
śmierć; death
kłopot; trouble / difficulty
nasiono; seed
tona; ton
dołączyć; to join / attach
sugerować; to suggest
czysty; clean / pure
przerwa; break / pause
pani; lady / Mrs.
stocznia; shipyard / dock
wzrosnąć; to rise / grow
zły; bad / angry
cios; blow / hit
olej; oil
krew; blood
dotknąć; to touch
cent; cent
mix; mixture
drut; wire
koszt; cost
stracić; to lose
brązowy; brown
nosić; to wear / carry
ogród; garden
równy; equal / even
wysłać; to send
spaść; to fall
pasować; to fit / suit
płynąć; to flow / sail
sprawiedliwy; fair / just
bank; bank
zbierać; to collect / gather
oszczędzać; to save (money)
kontrola; control / check
dziesiętny; decimal
ucho; ear
całkiem; quite / entirely
złamać; to break
sprawa; case / matter
średni; average / middle
zabić; to kill
syn; son
jezioro; lake
chwila; moment
skala; scale
głośno; loudly
wiosna; spring
obserwować; to observe / watch
prosto; straight / simply
spółgłosko; consonant
naród; nation
słownik; dictionary
mleko; milk
prędkość; speed
metoda; method
narząd; organ / instrument
płacić; to pay
wiek; age / century
sekcja; section
sukienka; dress
chmura; cloud
niespodzianka; surprise
cichy; quiet / silent
kamień; stone
wznosić; to rise / lift
chłodny; cool
