como; how  
seu; your  
que; that  
ele; he  
ser; to be  
para; for  
com; with  
ter; to have  
este; this  
por; by  
quente; hot  
palavra; word  
mas; but  
algum; some  
você; you  
nós; we  
lata; can  
fora; out  
outro; other  
fazer; do  
tempo; time  
vontade; will  
dizer; say  
cada; each  
conjunto; set  
três; three  
querer; want  
bem; well  
também; also  
jogar; play  
pequeno; small  
fim; end  
colocar; put  
casa; home  
ler; read  
mão; hand  
portr; port  
grande; big  
soletrar; spell  
adicionar; add  
mesmo; even  
terra; land  
aqui; here  
necessário; must  
alto; high  
tal; such  
sigar; follow  
ato; act  
perguntar; ask  
homem; man  
mudança; change  
luz; light  
tipo; kind  
off; off  
precisar; need  
imagem; picture  
tentar; try  
novamente; again  
animal; animal  
ponto; point  
mãe; mother  
mundo; world  
perto; near  
construir; build  
auto; own  
pai; father  
qualquer; any  
novo; new  
trabalho; work  
parte; part  
tomar; take  
obter; get  
lugar; place  
viver; live  
onde; where  
depois; after  
pouco; little  
apenas; only  
rodar; round  
ano; year  
vir; come  
exposição; show  
bom; good  
dar; give  
nosso; our  
sob; under  
nome; name  
muito; very  
através; through  
justo; just  
forma; form  
sentençar; sentence  
achar; think/find  
ajudar; help  
baixo; low  
linha; line  
diferir; differ  
vez; turn  
causa; cause  
significar; mean  
antes; before  
direito; right  
menino; boy  
velho; old  
tudo; all  
quando; when  
usar; use  
maneira; way  
sobre; about  
escrever; write
assim; so  
longo; long  
coisa; thing  
ver; see  
dois; two  
olhar; look  
mais; more  
dia; day  
poder; could  
número; number  
som; sound  
não; no  
pessoa; person  
meu; my  
saber; know  
água; water  
chamar; call  
primeiro; first  
lado; side  
agora; now  
encontrar; find  
cabeça; head  
ficar; stand  
próprio; own  
págino; page  
dever; should  
país; country  
resposta; answer  
escola; school  
crescer; grow  
estudo; study  
ainda; still  
aprender; learn  
planto; plant  
cobertura; cover  
alimento; food  
sol; sun  
quatro; four  
entre; between  
estar; state/be  
manter; keep  
olho; eye  
nunca; never  
último; last  
deixar; let  
pensar; thought  
cidade; city  
árvore; tree  
atravessar; cross  
fazendar; farm  
difícil; hard  
começar; start  
histório; story  
serra; saw  
longe; far  
mar; sea  
desenhar; draw  
esquerdo; left  
tarde; late  
run; run  
enquanto; while  
imprensa; press  
noite; night  
real; real  
vida; life  
norte; north  
livro; book  
carregar; carry  
ciência; science  
comer; eat  
quarto; room  
amigo; friend  
idéia; idea  
peixe; fish  
montanha; mountain  
pare; stop  
uma; once  
base; base  
ouvir; hear  
cavalo; horse  
corte; cut  
certo; sure  
assisto; watch  
cor; color  
rosto; face  
madeiro; wood  
principal; main  
abrir; open  
parecer; seem  
junto; together  
próximo; next  
branco; white  
criança; child  
início; begin  
andar; walk  
exemplo; example  
facilidade; ease  
papel; paper  
grupo; group  
sempre; always  
música; music  
aquele; those  
tanto; both  
marca; mark  
muitas; often  
carta; letter  
até; until  
milha; mile  
rio; river  
carro; car  
cuidado; care  
segundo; second  
suficiente; enough  
plain; plain  
menina; girl  
habitual; usual  
jovem; young  
pronto; ready  
acima; above  
vermelho; red  
listar; list  
embora; though
sentir; feel  
discussão; talk  
pássaro; bird  
corpo; body  
cão; dog  
família; family  
direto; direct  
representar; pose  
canção; song  
medir; measure  
porta; door  
produto; product  
preto; black  
curto; short  
classe; class  
vento; wind  
acontecer; happen  
completo; complete  
navio; ship  
área; area  
metade; half  
rocha; rock  
ordem; order  
fogo; fire  
sul; south  
problema; problem  
peçar; piece  
passar; told  
desde; since  
topo; top  
inteiro; whole  
rua; street  
polegar; inch  
multiplicar; multiply  
nada; nothing  
curso; course  
força; stay/force  
azul; blue  
objeto; object  
decidir; decide  
superfície; surface  
profundo; deep  
lua; moon  
ilha; island  
sistema; system  
ocupar; busy  
testir; test  
registro; record  
barco; boat  
comum; common  
